date,TOTAL_MWh,NG_MWh
2019-09-21,1197015.0,533638.0
2019-09-22,1181939.0,648742.0
2019-09-23,1260003.0,733515.0
2019-09-24,1255009.0,686239.0
2019-09-25,1260095.0,670911.0
2019-09-26,1244574.0,670313.0
2019-09-27,1226736.0,576854.0
2019-09-28,1220953.0,536747.0
2019-09-29,1223100.0,490181.0
2019-09-30,1269202.0,547175.0
2019-10-01,1264944.0,569044.0
2019-10-02,1240553.0,656483.0
2019-10-03,1222486.0,675541.0
2019-10-04,1178679.0,702090.0
2019-10-05,1143259.0,651596.0
2019-10-06,1143658.0,635934.0
2019-10-07,1041894.0,542990.0
2019-10-08,978145.0,454620.0
2019-10-09,1082353.0,411407.0
2019-10-10,1191678.0,507012.0
2019-10-11,900269.0,357717.0
2019-10-12,788579.0,345378.0
2019-10-13,825647.0,385155.0
2019-10-14,985144.0,488542.0
2019-10-15,1102106.0,545691.0
2019-10-16,902380.0,449064.0
2019-10-17,837304.0,383464.0
2019-10-18,884629.0,334991.0
2019-10-19,956781.0,465695.0
2019-10-20,1004607.0,403339.0
2019-10-21,947633.0,461081.0
2019-10-22,860338.0,410061.0
2019-10-23,899225.0,304913.0
2019-10-24,932946.0,310245.0
2019-10-25,870396.0,268806.0
2019-10-26,810262.0,338583.0
2019-10-27,808961.0,278562.0
2019-10-28,876962.0,386408.0
2019-10-29,922782.0,447900.0
2019-10-30,972503.0,396112.0
2019-10-31,1002722.0,515151.0
2019-11-01,972276.0,419089.0
2019-11-02,866352.0,389882.0
2019-11-03,881641.0,293559.0
2019-11-04,874078.0,358746.0
2019-11-05,889040.0,424957.0
2019-11-06,907443.0,376044.0
2019-11-07,918627.0,328039.0
2019-11-08,940684.0,483017.0
2019-11-09,863903.0,394798.0
2019-11-10,820995.0,271581.0
2019-11-11,962514.0,317218.0
2019-11-12,1198948.0,653154.0
2019-11-13,1175017.0,583777.0
2019-11-14,1044013.0,532289.0
2019-11-15,975888.0,506726.0
2019-11-16,921069.0,331376.0
2019-11-17,859844.0,379788.0
2019-11-18,874680.0,454597.0
2019-11-19,867928.0,339920.0
2019-11-20,878378.0,228480.0
2019-11-21,901325.0,339235.0
2019-11-22,905870.0,469957.0
2019-11-23,878150.0,461985.0
2019-11-24,859120.0,393123.0
2019-11-25,890885.0,320234.0
2019-11-26,915837.0,237956.0
2019-11-27,909044.0,408702.0
2019-11-28,875261.0,460188.0
2019-11-29,876561.0,316382.0
2019-11-30,877134.0,246588.0
2019-12-01,846711.0,373990.0
2019-12-02,951923.0,476344.0
2019-12-03,949828.0,441926.0
2019-12-04,919333.0,449557.0
2019-12-05,899539.0,316630.0
2019-12-06,882996.0,417007.0
2019-12-07,872694.0,413623.0
2019-12-08,867359.0,266258.0
2019-12-09,925126.0,365359.0
2019-12-10,1024704.0,539195.0
2019-12-11,1054250.0,516223.0
2019-12-12,1011730.0,497979.0
2019-12-13,941534.0,458540.0
2019-12-14,890442.0,400802.0
2019-12-15,891246.0,298352.0
2019-12-16,1015635.0,381990.0
2019-12-17,1103691.0,574718.0
2019-12-18,1101609.0,57927.0
2019-12-19,1084561.0,439660.0
2019-12-20,1026318.0,473217.0
2019-12-21,946884.0,517603.0
2019-12-22,949760.0,489223.0
2019-12-23,975335.0,434706.0
2019-12-24,906765.0,295483.0
2019-12-25,819956.0,282112.0
2019-12-26,846116.0,413185.0
2019-12-27,848117.0,278358.0
2019-12-28,848162.0,242929.0
2019-12-29,857867.0,317737.0
2019-12-30,966810.0,540668.0
2019-12-31,972912.0,521378.0
2020-01-01,918150.0,299790.0
2020-01-02,898740.0,326612.0
2020-01-03,904407.0,352998.0
2020-01-04,909955.0,390503.0
2020-01-05,873727.0,302496.0
2020-01-06,920671.0,410673.0
2020-01-07,934769.0,415218.0
2020-01-08,973855.0,15472.0
2020-01-09,892566.0,267234.0
2020-01-10,895131.0,316883.0
2020-01-11,948372.0,383693.0
2020-01-12,978297.0,421553.0
2020-01-13,948613.0,368205.0
2020-01-14,907142.0,398932.0
2020-01-15,913400.0,15198.0
2020-01-16,934678.0,411207.0
2020-01-17,924334.0,450543.0
2020-01-18,861537.0,338723.0
2020-01-19,925561.0,489035.0
2020-01-20,985120.0,592626.0
2020-01-21,1010767.0,431118.0
2020-01-22,1022565.0,17688.0
2020-01-23,934419.0,502791.0
2020-01-24,950951.0,520082.0
2020-01-25,909415.0,356073.0
2020-01-26,830958.0,472326.0
2020-01-27,900953.0,384301.0
2020-01-28,923041.0,266446.0
2020-01-29,1004363.0,539682.0
2020-01-30,1020397.0,641179.0
2020-01-31,962513.0,562141.0
2020-02-01,918797.0,446657.0
2020-02-02,856327.0,255482.0
2020-02-03,868229.0,225933.0
2020-02-04,928412.0,324703.0
2020-02-05,1111612.0,595808.0
2020-02-06,1137796.0,636109.0
2020-02-07,1013278.0,517630.0
2020-02-08,899077.0,361498.0
2020-02-09,850711.0,245573.0
2020-02-10,960098.0,482248.0
